is_match	abc		false
full_match	abc		false
find	abc		<none>
find_all	abc		[]
split	abc		[]
captures	abc		<none>
is_match	abc	a	false
full_match	abc	a	false
find	abc	a	<none>
find_all	abc	a	[]
split	abc	a	[a]
captures	abc	a	<none>
is_match	abc	abc	true
full_match	abc	abc	true
find	abc	abc	<abc>
find_all	abc	abc	[abc]
split	abc	abc	[|]
captures	abc	abc	[abc]
is_match	abc	aXc	false
full_match	abc	aXc	false
find	abc	aXc	<none>
find_all	abc	aXc	[]
split	abc	aXc	[aXc]
captures	abc	aXc	<none>
is_match	abc	aaabccc	true
full_match	abc	aaabccc	false
find	abc	aaabccc	<abc>
find_all	abc	aaabccc	[abc]
split	abc	aaabccc	[aa|cc]
captures	abc	aaabccc	[abc]
is_match	abc	xyz	false
full_match	abc	xyz	false
find	abc	xyz	<none>
find_all	abc	xyz	[]
split	abc	xyz	[xyz]
captures	abc	xyz	<none>
is_match	abc	word boundary word	false
full_match	abc	word boundary word	false
find	abc	word boundary word	<none>
find_all	abc	word boundary word	[]
split	abc	word boundary word	[word boundary word]
captures	abc	word boundary word	<none>
is_match	abc	123-4567	false
full_match	abc	123-4567	false
find	abc	123-4567	<none>
find_all	abc	123-4567	[]
split	abc	123-4567	[123-4567]
captures	abc	123-4567	<none>
is_match	abc	3.14 and 2.718	false
full_match	abc	3.14 and 2.718	false
find	abc	3.14 and 2.718	<none>
find_all	abc	3.14 and 2.718	[]
split	abc	3.14 and 2.718	[3.14 and 2.718]
captures	abc	3.14 and 2.718	<none>
is_match	abc	  spaced  	false
full_match	abc	  spaced  	false
find	abc	  spaced  	<none>
find_all	abc	  spaced  	[]
split	abc	  spaced  	[  spaced  ]
captures	abc	  spaced  	<none>
is_match	abc	AaBbCc	false
full_match	abc	AaBbCc	false
find	abc	AaBbCc	<none>
find_all	abc	AaBbCc	[]
split	abc	AaBbCc	[AaBbCc]
captures	abc	AaBbCc	<none>
is_match	abc	foobaz barbaz	false
full_match	abc	foobaz barbaz	false
find	abc	foobaz barbaz	<none>
find_all	abc	foobaz barbaz	[]
split	abc	foobaz barbaz	[foobaz barbaz]
captures	abc	foobaz barbaz	<none>
is_match	abc	xx	false
full_match	abc	xx	false
find	abc	xx	<none>
find_all	abc	xx	[]
split	abc	xx	[xx]
captures	abc	xx	<none>
is_match	abc	xxx	false
full_match	abc	xxx	false
find	abc	xxx	<none>
find_all	abc	xxx	[]
split	abc	xxx	[xxx]
captures	abc	xxx	<none>
is_match	abc	xxxx	false
full_match	abc	xxxx	false
find	abc	xxxx	<none>
find_all	abc	xxxx	[]
split	abc	xxxx	[xxxx]
captures	abc	xxxx	<none>
is_match	abc	a.b	false
full_match	abc	a.b	false
find	abc	a.b	<none>
find_all	abc	a.b	[]
split	abc	a.b	[a.b]
captures	abc	a.b	<none>
is_match	abc	a\b	false
full_match	abc	a\b	false
find	abc	a\b	<none>
find_all	abc	a\b	[]
split	abc	a\b	[a\b]
captures	abc	a\b	<none>
is_match	abc	-a-z-	false
full_match	abc	-a-z-	false
find	abc	-a-z-	<none>
find_all	abc	-a-z-	[]
split	abc	-a-z-	[-a-z-]
captures	abc	-a-z-	<none>
is_match	abc	[bracket]	false
full_match	abc	[bracket]	false
find	abc	[bracket]	<none>
find_all	abc	[bracket]	[]
split	abc	[bracket]	[[bracket]]
captures	abc	[bracket]	<none>
is_match	abc	ab	false
full_match	abc	ab	false
find	abc	ab	<none>
find_all	abc	ab	[]
split	abc	ab	[ab]
captures	abc	ab	<none>
is_match	abc	b	false
full_match	abc	b	false
find	abc	b	<none>
find_all	abc	b	[]
split	abc	b	[b]
captures	abc	b	<none>
is_match	abc	]	false
full_match	abc	]	false
find	abc	]	<none>
find_all	abc	]	[]
split	abc	]	[]]
captures	abc	]	<none>
is_match	abc	a]b	false
full_match	abc	a]b	false
find	abc	a]b	<none>
find_all	abc	a]b	[]
split	abc	a]b	[a]b]
captures	abc	a]b	<none>
is_match	a.c		false
full_match	a.c		false
find	a.c		<none>
find_all	a.c		[]
split	a.c		[]
captures	a.c		<none>
is_match	a.c	a	false
full_match	a.c	a	false
find	a.c	a	<none>
find_all	a.c	a	[]
split	a.c	a	[a]
captures	a.c	a	<none>
is_match	a.c	abc	true
full_match	a.c	abc	true
find	a.c	abc	<abc>
find_all	a.c	abc	[abc]
split	a.c	abc	[|]
captures	a.c	abc	[abc]
is_match	a.c	aXc	true
full_match	a.c	aXc	true
find	a.c	aXc	<aXc>
find_all	a.c	aXc	[aXc]
split	a.c	aXc	[|]
captures	a.c	aXc	[aXc]
is_match	a.c	aaabccc	true
full_match	a.c	aaabccc	false
find	a.c	aaabccc	<abc>
find_all	a.c	aaabccc	[abc]
split	a.c	aaabccc	[aa|cc]
captures	a.c	aaabccc	[abc]
is_match	a.c	xyz	false
full_match	a.c	xyz	false
find	a.c	xyz	<none>
find_all	a.c	xyz	[]
split	a.c	xyz	[xyz]
captures	a.c	xyz	<none>
is_match	a.c	word boundary word	false
full_match	a.c	word boundary word	false
find	a.c	word boundary word	<none>
find_all	a.c	word boundary word	[]
split	a.c	word boundary word	[word boundary word]
captures	a.c	word boundary word	<none>
is_match	a.c	123-4567	false
full_match	a.c	123-4567	false
find	a.c	123-4567	<none>
find_all	a.c	123-4567	[]
split	a.c	123-4567	[123-4567]
captures	a.c	123-4567	<none>
is_match	a.c	3.14 and 2.718	false
full_match	a.c	3.14 and 2.718	false
find	a.c	3.14 and 2.718	<none>
find_all	a.c	3.14 and 2.718	[]
split	a.c	3.14 and 2.718	[3.14 and 2.718]
captures	a.c	3.14 and 2.718	<none>
is_match	a.c	  spaced  	false
full_match	a.c	  spaced  	false
find	a.c	  spaced  	<none>
find_all	a.c	  spaced  	[]
split	a.c	  spaced  	[  spaced  ]
captures	a.c	  spaced  	<none>
is_match	a.c	AaBbCc	false
full_match	a.c	AaBbCc	false
find	a.c	AaBbCc	<none>
find_all	a.c	AaBbCc	[]
split	a.c	AaBbCc	[AaBbCc]
captures	a.c	AaBbCc	<none>
is_match	a.c	foobaz barbaz	false
full_match	a.c	foobaz barbaz	false
find	a.c	foobaz barbaz	<none>
find_all	a.c	foobaz barbaz	[]
split	a.c	foobaz barbaz	[foobaz barbaz]
